Swimming II for Children (6-12 yrs.)    ,Cub Run RECenter                        ,7:45pm Mon/Wed                                                                                       ,4/30/2018
Swimming III for Children (6-12 yrs.)   ,Cub Run RECenter                        ,7:45pm Mon/Wed                                                                                       ,4/30/2018
Pee Wee Paddler III (4-6 yrs.)          ,Cub Run RECenter                        ,6:35pm Mon/Wed                                                                                       ,4/30/2018
Pee Wee Paddler IV (4-6 yrs)            ,Cub Run RECenter                        ,6:35pm Mon/Wed                                                                                       ,4/30/2018
Preschooler and Me Swim (3-5 yrs)       ,Cub Run RECenter                        ,6pm Mon/Wed                                                                                          ,4/30/2018
Pee Wee Paddler I (3-5 yrs.)            ,Cub Run RECenter                        ,6pm Mon/Wed                                                                                          ,4/30/2018
Pee Wee Paddler I (3-5 yrs.)            ,Cub Run RECenter                        ,6:35pm Mon/Wed                                                                                       ,4/30/2018
Pee Wee Paddler I (3-5 yrs.)            ,Cub Run RECenter                        ,7:10pm Mon/Wed                                                                                       ,4/30/2018
Pee Wee Paddler II (3-5 yrs.)           ,Cub Run RECenter                        ,6pm Mon/Wed                                                                                          ,4/30/2018
Pee Wee Paddler II (3-5 yrs.)           ,Cub Run RECenter                        ,7:10pm Mon/Wed                                                                                       ,4/30/2018
Pee Wee Paddler I (3-5 yrs.)            ,Cub Run RECenter                        ,4pm Tue/Thu                                                                                          ,5/1/2018
Pee Wee Paddler IV (4-6 yrs)            ,Cub Run RECenter                        ,4:35pm Tue/Thu                                                                                       ,5/1/2018
Pee Wee Paddler III (4-6 yrs.)          ,Cub Run RECenter                        ,4:35pm Tue/Thu                                                                                       ,5/1/2018
Pee Wee Paddler III (4-6 yrs.)          ,Cub Run RECenter                        ,5:10pm Tue/Thu                                                                                       ,5/1/2018
Swimming III for Children (6-12 yrs.)   ,Cub Run RECenter                        ,4pm Tue/Thu                                                                                          ,5/1/2018
Swimming II for Children (6-12 yrs.)    ,Cub Run RECenter                        ,4:50pm Tue/Thu                                                                                       ,5/1/2018
Swimming V for Children (6-12 yrs.)     ,Cub Run RECenter                        ,9am Sat                                                                                              ,5/5/2018
Swimming V for Children (6-12 yrs.)     ,Cub Run RECenter                        ,10:50am Sat                                                                                          ,5/5/2018
Swimming V for Children (6-12 yrs.)     ,Cub Run RECenter                        ,11:50am Sat                                                                                          ,5/5/2018
Swimming IV for Children (6-12 yrs.)    ,Cub Run RECenter                        ,9am Sat                                                                                              ,5/5/2018
Swimming IV for Children (6-12 yrs.)    ,Cub Run RECenter                        ,9:50am Sat                                                                                           ,5/5/2018
Swimming IV for Children (6-12 yrs.)    ,Cub Run RECenter                        ,11:30am Sat                                                                                          ,5/5/2018
Pee Wee Paddler II (3-5 yrs.)           ,Cub Run RECenter                        ,4pm Tue/Thu                                                                                          ,5/1/2018
Swimming II - Teens & Adults (13-Adult) ,Cub Run RECenter                        ,8am Sat                                                                                              ,5/5/2018
Swimming II - Teens & Adults (13-Adult) ,Cub Run RECenter                        ,12:25pm Sat                                                                                          ,5/5/2018
Swimming I - Teens & Adults (13-Adult)  ,Cub Run RECenter                        ,8am Sat                                                                                              ,5/5/2018
Swimming III - Teens & Adults (13-Adult),Cub Run RECenter                        ,8am Sat                                                                                              ,5/5/2018
Swimming III - Teens & Adults (13-Adult),Cub Run RECenter                        ,12pm Sat                                                                                             ,5/5/2018
Lap Swim (13-Adult)                     ,Cub Run RECenter                        ,8am Sat                                                                                              ,5/5/2018
I Dig Science (3-5 yrs)                 ,Cub Run RECenter                        ,1pm Thu                                                                                              ,5/3/2018
Pee Wee Paddler V (4-6 yrs.)            ,Cub Run RECenter                        ,9am Sat                                                                                              ,5/5/2018
Pee Wee Paddler V (4-6 yrs.)            ,Cub Run RECenter                        ,9:35am Sat                                                                                           ,5/5/2018
Pee Wee Paddler V (4-6 yrs.)            ,Cub Run RECenter                        ,10:45am Sat                                                                                          ,5/5/2018
Pee Wee Paddler V (4-6 yrs.)            ,Cub Run RECenter                        ,11:20am Sat                                                                                          ,5/5/2018
Swimming I for Children (6-12 yrs)      ,Cub Run RECenter                        ,9:50am Sat                                                                                           ,5/5/2018
Swimming I for Children (6-12 yrs)      ,Cub Run RECenter                        ,10:40am Sat                                                                                          ,5/5/2018
Swimming III for Children (6-12 yrs.)   ,Cub Run RECenter                        ,10am Sat                                                                                             ,5/5/2018
Swimming III for Children (6-12 yrs.)   ,Cub Run RECenter                        ,10:40am Sat                                                                                          ,5/5/2018
Swimming III for Children (6-12 yrs.)   ,Cub Run RECenter                        ,11:30am Sat                                                                                          ,5/5/2018
Pee Wee Paddler III (4-6 yrs.)          ,Cub Run RECenter                        ,9:30am Sat                                                                                           ,5/5/2018
Pee Wee Paddler III (4-6 yrs.)          ,Cub Run RECenter                        ,10:10am Sat                                                                                          ,5/5/2018
Pee Wee Paddler III (4-6 yrs.)          ,Cub Run RECenter                        ,10:45am Sat                                                                                          ,5/5/2018
Pee Wee Paddler III (4-6 yrs.)          ,Cub Run RECenter                        ,11:20am Sat                                                                                          ,5/5/2018
Pee Wee Paddler IV (4-6 yrs)            ,Cub Run RECenter                        ,9am Sat                                                                                              ,5/5/2018
Pee Wee Paddler IV (4-6 yrs)            ,Cub Run RECenter                        ,10:10am Sat                                                                                          ,5/5/2018
Pee Wee Paddler IV (4-6 yrs)            ,Cub Run RECenter                        ,10:45am Sat                                                                                          ,5/5/2018
